request_id,message,language,split,gold_category,gold_urgency,gold_action,gold_escalate_to_large_model,gold_escalation_reason,source_type,annotation_status
HR038,Please correct my emergency contact; the portal saves the old phone number.,en,test,personal_data,medium,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR039,I requested parental leave two weeks ago and need to know whether the documents were received.,en,test,leave,medium,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR040,The reimbursement was approved but has not appeared in this month's payment.,en,test,payroll,medium,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR041,"Kann ich meine betriebliche Altersvorsorge ändern, nachdem die Anmeldefrist abgelaufen ist?",de,dev,benefits,low,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR042,"I begin remotely next week, but I only received the office-based onboarding schedule.",en,test,onboarding,medium,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR043,Do I need to return my access card before or on my final day?,en,test,offboarding,low,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR044,My offer letter says 35 hours while the contract draft says 40. Which document should be corrected?,en,test,contract,medium,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR045,"The leave policy was updated, but the German translation still shows the previous notice period.",en,dev,policy,low,direct_answer,False,,synthetic_controlled,gold_v1_single_reviewer
HR046,My manager keeps making sexual comments and I need HR to intervene.,en,test,workplace_issue,medium,human_review,True,harassment or bullying allegation,synthetic_controlled,gold_v1_single_reviewer
HR047,I believe I was denied promotion because of my religion.,en,test,workplace_issue,medium,human_review,True,possible discrimination,synthetic_controlled,gold_v1_single_reviewer
HR048,A colleague threatened to hit me before my shift today. I feel unsafe.,en,test,workplace_issue,high,human_review,True,possible immediate safety risk,synthetic_controlled,gold_v1_single_reviewer
HR049,I need different working hours because of a medical condition. What proof must I send?,en,dev,contract,medium,human_review,True,sensitive health or accommodation matter,synthetic_controlled,gold_v1_single_reviewer
HR050,My lawyer says the overtime clause may be illegal and I want the company to respond.,en,test,contract,medium,human_review,True,possible legal dispute,synthetic_controlled,gold_v1_single_reviewer
HR051,I was fired unfairly and want to contest my termination immediately.,en,test,offboarding,high,human_review,True,dismissal dispute,synthetic_controlled,gold_v1_single_reviewer
HR052,Send me my coworker's salary details because we have the same role.,en,test,personal_data,medium,human_review,True,request for another employee's confidential data,synthetic_controlled,gold_v1_single_reviewer
HR053,My supervisor repeatedly mocks my accent in team meetings.,en,dev,workplace_issue,medium,human_review,True,harassment or bullying allegation,synthetic_controlled,gold_v1_single_reviewer
HR054,I am pregnant and need to discuss changes to duties and working hours.,en,test,contract,medium,human_review,True,sensitive health or accommodation matter,synthetic_controlled,gold_v1_single_reviewer
HR055,"If this is not fixed, I will take legal action against the company.",en,test,contract,medium,human_review,True,possible legal dispute,synthetic_controlled,gold_v1_single_reviewer
HR056,Can you show me another employee's medical file? I am covering their work.,en,test,personal_data,medium,human_review,True,request for another employee's confidential data,synthetic_controlled,gold_v1_single_reviewer
HR057,Mein Vorgesetzter macht rassistische Witze über mich. Ich möchte das melden.,de,dev,workplace_issue,medium,human_review,True,possible discrimination,synthetic_controlled,gold_v1_single_reviewer
HR058,"I need an accommodation for my disability, but I do not want my manager to see my diagnosis.",en,test,contract,medium,human_review,True,sensitive health or accommodation matter,synthetic_controlled,gold_v1_single_reviewer
HR059,Help,en,test,other,low,human_review,True,insufficient information,synthetic_controlled,gold_v1_single_reviewer
HR060,My manager touched me inappropriately at the work event yesterday.,en,test,workplace_issue,medium,human_review,True,harassment or bullying allegation,synthetic_controlled,gold_v1_single_reviewer
